,Azimuth,Elevation
278,24.0,36.0
279,24.0,36.0
280,24.0,36.0
281,24.0,36.0
282,24.0,36.0
283,24.0,36.0
284,24.0,36.0
285,24.0,36.0
286,24.0,36.0
287,24.0,36.0
288,24.0,36.0
289,24.0,35.0
290,24.0,35.0
291,24.0,35.0
292,25.0,35.0
293,25.0,36.0
294,25.0,36.0
295,25.0,36.0
296,25.0,36.0
297,25.0,36.0
298,25.0,35.0
299,25.0,35.0
300,25.0,35.0
301,25.0,35.0
302,25.0,35.0
303,25.0,35.0
304,26.0,35.0
305,26.0,35.0
306,26.0,35.0
307,26.0,35.0
308,26.0,35.0
309,26.0,35.0
310,26.0,35.0
311,26.0,35.0
312,26.0,35.0
313,26.0,35.0
314,26.0,35.0
315,26.0,35.0
316,26.0,35.0
317,27.0,35.0
318,27.0,35.0
319,27.0,35.0
320,27.0,35.0
321,27.0,35.0
322,27.0,35.0
323,27.0,35.0
324,27.0,35.0
325,27.0,35.0
326,27.0,35.0
327,27.0,35.0
328,27.0,35.0
329,27.0,17.0
330,27.0,35.0
331,27.0,18.0
332,27.0,18.0
333,27.0,15.0
334,27.0,18.0
335,27.0,18.0
336,27.0,19.0
337,27.0,19.0
338,27.0,19.0
339,27.0,19.0
340,27.0,20.0
341,27.0,20.0
342,27.0,20.0
343,27.0,17.0
344,27.0,20.0
345,27.0,18.0
346,27.0,21.0
347,27.0,18.0
348,27.0,15.0
349,27.0,21.0
350,27.0,18.0
351,27.0,15.0
352,27.0,35.0
353,27.0,18.0
354,27.0,21.0
355,27.0,18.0
356,27.0,19.0
357,27.0,19.0
358,27.0,19.0
359,27.0,22.0
360,27.0,19.0
361,27.0,19.0
362,27.0,22.0
363,27.0,20.0
364,27.0,20.0
365,27.0,22.0
366,27.0,17.0
367,27.0,20.0
368,27.0,20.0
369,27.0,23.0
370,27.0,18.0
371,27.0,20.0
372,27.0,15.0
373,27.0,21.0
374,27.0,23.0
375,27.0,21.0
376,27.0,23.0
377,27.0,21.0
378,27.0,24.0
379,27.0,21.0
380,27.0,24.0
381,27.0,35.0
382,27.0,24.0
383,27.0,22.0
384,27.0,19.0
385,27.0,22.0
386,27.0,19.0
387,27.0,22.0
388,27.0,22.0
389,27.0,17.0
390,27.0,23.0
391,27.0,20.0
392,27.0,23.0
393,27.0,23.0
394,27.0,26.0
395,27.0,23.0
396,27.0,23.0
397,27.0,21.0
398,27.0,24.0
399,27.0,24.0
400,27.0,24.0
401,27.0,24.0
402,27.0,22.0
403,27.0,27.0
404,27.0,22.0
405,27.0,15.0
406,27.0,23.0
407,27.0,25.0
408,27.0,15.0
409,27.0,23.0
410,27.0,28.0
411,27.0,26.0
412,27.0,28.0
413,27.0,21.0
414,27.0,29.0
415,27.0,24.0
416,27.0,29.0
417,27.0,24.0
418,27.0,29.0
419,27.0,29.0
420,27.0,17.0
421,27.0,27.0
422,27.0,23.0
423,27.0,35.0
424,27.0,25.0
425,27.0,15.0
426,27.0,28.0
427,27.0,26.0
428,27.0,28.0
429,27.0,28.0
430,27.0,31.0
431,27.0,29.0
432,27.0,17.0
433,27.0,29.0
434,27.0,24.0
435,27.0,29.0
436,27.0,27.0
437,27.0,29.0
438,27.0,32.0
439,27.0,16.0
440,27.0,25.0
441,27.0,32.0
442,27.0,28.0
443,27.0,33.0
444,27.0,16.0
445,27.0,33.0
446,27.0,17.0
447,27.0,26.0
448,27.0,28.0
449,27.0,17.0
450,27.0,17.0
451,28.0,31.0
452,28.0,22.0
453,28.0,29.0
454,28.0,31.0
455,28.0,15.0
456,28.0,33.0
457,28.0,17.0
458,28.0,33.0
459,28.0,16.0
460,28.0,34.0
461,28.0,27.0
462,28.0,32.0
463,28.0,34.0
464,28.0,32.0
465,28.0,25.0
466,28.0,16.0
467,28.0,17.0
468,28.0,26.0
469,28.0,17.0
470,28.0,21.0
471,28.0,35.0
472,28.0,32.0
473,28.0,33.0
474,28.0,17.0
475,28.0,33.0
476,28.0,31.0
477,28.0,28.0
478,28.0,17.0
479,28.0,31.0
480,28.0,33.0
481,28.0,16.0
482,28.0,33.0
483,28.0,16.0
484,28.0,16.0
485,28.0,34.0
486,28.0,32.0
487,28.0,29.0
488,28.0,34.0
489,28.0,21.0
490,28.0,28.0
491,28.0,15.0
492,28.0,32.0
493,28.0,34.0
494,28.0,22.0
495,28.0,31.0
496,28.0,16.0
497,28.0,29.0
498,28.0,33.0
499,28.0,24.0
500,28.0,16.0
501,28.0,16.0
502,28.0,33.0
503,28.0,31.0
504,28.0,27.0
505,28.0,25.0
506,28.0,34.0
507,28.0,25.0
508,28.0,17.0
509,28.0,21.0
510,28.0,17.0
511,28.0,32.0
512,28.0,26.0
513,28.0,22.0
514,28.0,22.0
515,28.0,26.0
516,28.0,34.0
517,28.0,16.0
518,28.0,26.0
519,28.0,30.0
520,28.0,16.0
521,28.0,24.0
522,28.0,27.0
523,28.0,31.0
524,28.0,25.0
525,28.0,33.0
526,28.0,27.0
527,28.0,25.0
528,28.0,15.0
529,28.0,27.0
530,28.0,27.0
531,28.0,25.0
532,28.0,17.0
533,28.0,27.0
534,28.0,17.0
535,28.0,33.0
536,28.0,25.0
537,28.0,28.0
538,28.0,18.0
539,28.0,26.0
540,28.0,28.0
541,28.0,26.0
542,28.0,34.0
543,28.0,26.0
544,28.0,32.0
545,28.0,26.0
546,28.0,28.0
547,28.0,27.0
548,28.0,25.0
549,28.0,27.0
550,28.0,25.0
551,28.0,27.0
552,28.0,31.0
553,28.0,27.0
554,28.0,33.0
555,28.0,27.0
556,28.0,25.0
557,28.0,27.0
558,28.0,29.0
559,28.0,28.0
560,28.0,32.0
561,28.0,34.0
562,28.0,28.0
563,28.0,30.0
564,28.0,26.0
565,28.0,28.0
566,28.0,30.0
567,28.0,34.0
568,28.0,29.0
569,28.0,17.0
570,28.0,21.0
571,28.0,31.0
572,28.0,31.0
573,28.0,22.0
574,28.0,30.0
575,28.0,31.0
576,28.0,30.0
577,28.0,30.0
578,28.0,15.0
579,28.0,30.0
580,28.0,32.0
581,28.0,32.0
582,28.0,30.0
583,28.0,28.0
584,28.0,32.0
585,28.0,17.0
586,28.0,30.0
587,28.0,22.0
588,28.0,31.0
589,28.0,22.0
590,28.0,31.0
591,28.0,33.0
592,28.0,31.0
593,28.0,31.0
594,28.0,30.0
595,28.0,32.0
596,28.0,34.0
597,28.0,32.0
598,28.0,30.0
599,28.0,32.0
600,28.0,32.0
601,28.0,30.0
602,28.0,17.0
603,28.0,32.0
604,28.0,34.0
605,28.0,34.0
606,28.0,32.0
607,28.0,31.0
608,28.0,33.0
609,28.0,32.0
610,28.0,32.0
611,28.0,34.0
612,28.0,28.0
613,28.0,34.0
614,28.0,34.0
615,28.0,15.0
616,28.0,34.0
617,28.0,22.0
618,28.0,22.0
619,28.0,15.0
620,28.0,34.0
621,28.0,22.0
622,28.0,15.0
623,28.0,22.0
624,28.0,15.0
625,28.0,22.0
626,28.0,15.0
627,28.0,22.0
628,28.0,15.0
629,28.0,15.0
630,28.0,15.0
631,28.0,15.0
632,28.0,15.0
633,28.0,15.0
634,28.0,15.0
635,28.0,15.0
636,28.0,15.0
637,28.0,15.0
638,28.0,15.0
639,29.0,15.0
640,29.0,15.0
641,29.0,15.0
642,29.0,15.0
643,29.0,15.0
644,29.0,15.0
645,29.0,15.0
646,29.0,15.0
647,29.0,15.0
648,29.0,15.0
649,29.0,15.0
650,29.0,15.0
651,29.0,15.0
652,29.0,15.0
653,29.0,15.0
654,29.0,15.0
655,29.0,15.0
656,29.0,15.0
657,29.0,15.0
658,30.0,15.0
659,30.0,15.0
660,30.0,15.0
661,30.0,15.0
662,30.0,15.0
663,30.0,15.0
664,30.0,15.0
665,30.0,15.0
666,30.0,15.0
667,30.0,15.0
668,30.0,15.0
669,30.0,16.0
670,30.0,16.0
671,30.0,16.0
672,30.0,16.0
673,30.0,16.0
674,30.0,16.0
675,30.0,16.0
676,30.0,16.0
677,30.0,16.0
678,30.0,16.0
679,30.0,16.0
680,31.0,16.0
681,31.0,16.0
682,31.0,16.0
683,31.0,16.0
684,31.0,16.0
685,31.0,16.0
686,31.0,16.0
687,31.0,16.0
688,31.0,15.0
689,31.0,16.0
690,31.0,15.0
691,31.0,18.0
692,31.0,15.0
693,31.0,17.0
694,31.0,17.0
695,31.0,15.0
696,31.0,17.0
697,31.0,17.0
698,31.0,17.0
699,31.0,15.0
700,31.0,17.0
701,31.0,17.0
702,31.0,17.0
703,31.0,17.0
704,31.0,15.0
705,31.0,17.0
706,31.0,17.0
707,31.0,17.0
708,31.0,18.0
709,31.0,17.0
710,31.0,17.0
711,31.0,17.0
712,31.0,18.0
713,31.0,18.0
714,31.0,17.0
715,31.0,15.0
716,31.0,17.0
717,31.0,17.0
718,31.0,18.0
719,31.0,18.0
720,31.0,17.0
721,31.0,17.0
722,31.0,17.0
723,31.0,15.0
724,31.0,17.0
725,31.0,18.0
726,31.0,18.0
727,31.0,18.0
728,31.0,18.0
729,31.0,17.0
730,31.0,15.0
731,31.0,17.0
732,31.0,15.0
733,31.0,16.0
734,32.0,16.0
735,32.0,17.0
736,32.0,15.0
737,32.0,16.0
738,32.0,18.0
739,32.0,18.0
740,32.0,16.0
741,32.0,16.0
742,32.0,16.0
743,32.0,17.0
744,32.0,16.0
745,32.0,17.0
746,32.0,16.0
747,32.0,16.0
748,32.0,16.0
749,32.0,17.0
750,32.0,18.0
751,32.0,18.0
752,32.0,17.0
753,32.0,17.0
754,32.0,17.0
755,32.0,17.0
756,32.0,17.0
757,32.0,17.0
758,32.0,17.0
759,32.0,17.0
760,32.0,17.0
